release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2018-05-04T20:12:10.557689Z,dev,v0.3.6,None,e976be13c51448f89107d082ec81e2b6731671fa,e005a87ed1e2a5f982744b8074199787
2018-04-25T02:36:56.617731Z,dev,v0.3.5,None,ec611470b571c35156723a163fdcacd1f58b1809,39646f79e9336fb65ac68c8568544c92
2018-04-24T21:38:15.356720Z,dev,v0.3.4,None,ec611470b571c35156723a163fdcacd1f58b1809,39646f79e9336fb65ac68c8568544c92
2018-04-24T16:58:25.525831Z,beta,v0.3.1,None,09d05a38912a3c1a906e95099cac9a7e14fae85f,39646f79e9336fb65ac68c8568544c92
2018-04-23T13:45:14.270896Z,dev,v0.3.3,None,cb3376c5dedb71cec7a88b8a8904acc5dd6c6ba1,39646f79e9336fb65ac68c8568544c92
2018-04-20T08:26:17.688699Z,dev,v0.3.2,None,09d05a38912a3c1a906e95099cac9a7e14fae85f,39646f79e9336fb65ac68c8568544c92
2018-04-20T07:57:29.226382Z,dev,v0.3.1,None,09d05a38912a3c1a906e95099cac9a7e14fae85f,39646f79e9336fb65ac68c8568544c92
2018-04-16T20:03:43.109412Z,dev,v0.3.0,None,8a6e64a8ef09f1f1af207725b40022d8d7a9dcd7,4bef249ea9718a0b708f17a4a98f9b59
2018-04-12T01:48:48.011863Z,dev,v0.2.11,None,6474647f5210a968d186901cc511153ec442e897,5dc50b7942c1acdc5e20d7a99b981227
2018-04-09T20:24:31.158345Z,dev,v0.2.10,None,d2b69fec751d6d11f62019c863b2cba4ce575bfe,c43eada86a2f4834d028602dc4840e01
2018-04-09T18:34:23.057146Z,beta,v0.2.8,None,c903c217a1a8206cdebdab1703b52ec6180edf37,d72bf5003e5924b61a7943f58e7b6814
2018-04-05T15:46:23.078195Z,dev,v0.2.9,None,04f3c6557c02879191a558320ed8ec81f8b2b619,d72bf5003e5924b61a7943f58e7b6814
2018-04-03T01:46:58.039956Z,dev,v0.2.8,None,c903c217a1a8206cdebdab1703b52ec6180edf37,d72bf5003e5924b61a7943f58e7b6814
2018-04-02T23:23:50.189137Z,beta,v0.2.3,None,e61bb9ac3a3fd789754e2e54220bcfc27076a857,0d015018f02a6de0c92ac1ac59191b55
2018-04-02T23:11:51.217078Z,dev,v0.2.7,None,c903c217a1a8206cdebdab1703b52ec6180edf37,d72bf5003e5924b61a7943f58e7b6814
2018-03-30T13:56:17.652025Z,dev,v0.2.6,None,9af82c5a1a79ae02477db13e721c8365f31a4840,8f8bcefc1534f548f00d8d817877e101
2018-03-30T01:48:38.085191Z,dev,v0.2.5,None,dd6f46c485192f4506035088c9065b9f5dbba9ab,0053515318c68502ae0307040ac1746b
2018-03-26T20:43:01.049354Z,dev,v0.2.4,None,6280adbfb1f9f63cdc6179b9b78634add1e4f2e3,48af31030bbb45e2f3e620514fd8a27d
2018-03-20T01:47:02.851729Z,dev,v0.2.3,None,e61bb9ac3a3fd789754e2e54220bcfc27076a857,0d015018f02a6de0c92ac1ac59191b55
2018-03-16T18:48:13.375013Z,dev,v0.2.2,None,e44cd55fc452ba5524147280c451fb3ace350ec4,0d015018f02a6de0c92ac1ac59191b55
2018-03-15T16:54:36.795002Z,beta,v0.1.5,None,ead227f118077d1f2b57842a32abaf105b573b8a,9bc066b6e8ef5a9f7224c2926c6ad2f4
2018-03-12T17:08:21.387382Z,dev,v0.2.1,None,24cf8ebd8621713a6936df783dad5019f52bc85e,667a3bf9d477f047a8d88dddf6d8bfd1
2018-03-07T19:43:29.371633Z,dev,v0.2.0,None,a00f8e8bc0f3d08ec0c0ca24b01226441bcaf03a,1461982fa5039fab6ecead9f19228670
2018-03-07T05:33:37.499761Z,dev,v0.1.9,None,97b22348c8d5cba471418dc94f9e384e384e796f,1461982fa5039fab6ecead9f19228670
2018-03-06T08:16:53.944971Z,dev,v0.1.8,None,e133da723c603eb43c5bf03aeb27e79c06a50e0c,9bc066b6e8ef5a9f7224c2926c6ad2f4
2018-02-27T00:26:37.058993Z,dev,v0.1.6,None,ead227f118077d1f2b57842a32abaf105b573b8a,9bc066b6e8ef5a9f7224c2926c6ad2f4
